name,description,keywords
spacy,"spaCy: Industrial-strength NLP
spaCy is a library for advanced Natural Language Processing in Python and Cython. It's built on the very latest research, and was designed from day one to be used in real products. spaCy comes with pretrained statistical models and word vectors, and currently supports tokenization for 50+ languages. It features state-of-the-art speed, convolutional neural network models for tagging, parsing and named entity recognition and easy deep learning integration. It's commercial open-source software, released under the MIT license.",NLP-Natural Language Processing-Cython-pretrained-statistical models-word vectors-tokenization-tagging- parsing-named entity recognition-NER
Django REST framework ,"Django REST framework is a powerful and flexible toolkit for building Web APIs.

Some reasons you might want to use REST framework:

The Web browsable API is a huge usability win for your developers.
Authentication policies including packages for OAuth1a and OAuth2.
Serialization that supports both ORM and non-ORM data sources.
Customizable all the way down - just use regular function-based views if you don't need the more powerful features.
Extensive documentation, and great community support.
Used and trusted by internationally recognised companies including Mozilla, Red Hat, Heroku, and Eventbrite.",REST-Web API-API-OAuth1a-OAuth2-Serialization-ORM-Restful
Flask-RESTful,Flask-RESTful provides the building blocks for creating a great REST API.,REST-API-Restful
sandman,"sandman2 automagically generates a RESTful API service from your existing database, without requiring you to write a line of code. Simply point sandman2 to your database, add salt for seasoning, and voila!, a fully RESTful API service with hypermedia support starts running, ready to accept HTTP requests.

This is a big deal. It means every single database you interact with, from the SQLite database that houses your web browser’s data up to your production PostgreSQL server can be endowed with a REST API and accessed programatically, using any number of HTTP client libraries available in every language. sandman2 frees your data.",generates-RESTful API service-from database-automatically-SQLite-PostgreSQL-automatically generates
zeep,"A fast and modern Python SOAP client

Highlights:
Compatible with Python 2.7, 3.3, 3.4, 3.5, 3.6, 3.7 and PyPy
Build on top of lxml and requests
Support for Soap 1.1, Soap 1.2 and HTTP bindings
Support for WS-Addressing headers
Support for WSSE (UserNameToken / x.509 signing)
Support for tornado async transport via gen.coroutine (Python 2.7+)
Support for asyncio via aiohttp (Python 3.5+)
Experimental support for XOP messages",SOAP client-SOAP-Soap 1.1-Soap 1.2-HTTP binding
PyMedia,"A Python library for accessing and manipulating media files. It makes audio and video playback/creation a snap for even a newcomer to programming. This tutorial aims to walk you through installing and using the PyMedia library.
For the sake of simplicity most of the examples have been kept concise and straightforward. In a 'real world' application, you would need to take care of error handling, input validation and so on. A multimedia processing module which makes possible video/audio manipulation directly from Python. It understands the following formats: avi, mpg, mp3, ogg, aac, ac3, vob, cda etc.  Video file as pictures
  
Save your video clip into the set of BMP pictures and enjoy your favourite snapshot.

 
  Get your video back after you have it as pictures
  
Restores your mpeg1/2 video file from the set of BMP/JPG images.

 
  Voice recorder
  
Record any sound from microphone or line-in and save it as an mp3 file( your personal digital recorder ).

 
  Play standard WAV file
  
Play your regular WAV file with pymedia.

 
  Simple audio player
  
Play your favourite music in any supported format with pymedia.

 
  Simple audio recoder
  
Change the format of your compressed audio files into something different.

 
  Simple video player
  
Play all you favourite video files and navigate through the file using the keyboard.

 
  Simple video recoder
  
Recode your video files into the MPEG1 or MPEG2.
For the sake of simplicity most of the examples have been kept concise and straightforward. In a 'real world' application, you would need to take care of error handling, input validation and so on.  Make some noise
  Playing a WAV file
  
A simple WAV file player. Your first chance to blast some audio through your speakers with PyMedia.

 
  Uncompressing an audio stream
  
Convert a compressed audio file into the universal WAV format, suitable for storing on CD or tweaking in your favorite sound editing program.

 
  Simple audio player
  
Play your favorite music files in any of the formats supported by PyMedia (see documentation for list)

 
  Recode audio
  
Don't like the file format your music is in? Re-encode it in the format of your choice!

 
  A video is worth a thousand words!
  Recode video
  
Extract video from a file or stream and save it as an mpeg1 or mpeg2 video file.

 
  Video demuxing
  
Demux you video source into separate streams

 
  Advanced multimedia
  Simple video player
  
A very useful example, showing how to play all kinds of media files with PyMedia. You will need pygame or pydfb for the video playback.

 
  Encode video on fly
  
A simple example that will show you how to convert movies or video streams in any supported format into mpeg1 or mpeg2 files.

 
  All examples unsorted
  Audio CD grabber
  
Read( grab ) track( song ) from the audio cd into the file.

 
  Decompress mp3 file
  
Decompress any compressed file into the standard WAV file.

 
 ",accessing-manipulating-media files-media-audio-video-playback-creation-avi-mpg-mp3-ogg-aac-ac3-vob-cda
pysuggest,"SUGGEST is a Top-N recommendation engine that implements a variety of recommendation algorithms. Top-N recommender systems, a personalized information filtering technology, are used to identify a set of N items that will be of interest to a certain user. In recent years, top-N recommender systems have been used in a number of different applications such to recommend products a customer will most likely buy; recommend movies, TV programs, or music a user will find enjoyable; identify web-pages that will be of interest; or even suggest alternate ways of searching for information.

The algorithms implemented by SUGGEST are based on collaborative filtering that is the most successful and widely used framework for building recommender systems. SUGGEST implements two classes of collaborative filtering-based top-N recommendation algorithms, called user-based and item-based.",SUGGEST-Top N-recommendation-recommendation algorithms-recommender systems-personalized-information filtering-interest-certain user-recommend-information-collaborative filtering
NumPy,"NumPy is the fundamental package for scientific computing with Python. It contains among other things:

a powerful N-dimensional array object.

sophisticated (broadcasting) functions.

tools for integrating C/C++ and Fortran code.

useful linear algebra, Fourier transform, and random number capabilities.

Besides its obvious scientific uses, NumPy can also be used as an efficient multi-dimensional container of generic data. Arbitrary data-types can be defined. This allows NumPy to seamlessly and speedily integrate with a wide variety of databases.

NumPy is licensed under the BSD license, enabling reuse with few restrictions.",scientific computing-scientific-n dimensional-dimentional array-linear algebra-Fourier transform-random number-scientific-matrix
Theano,"Theano is another useful Python library assists data scientists in performing large multi-dimensional arrays related computing operations. It is more like TensorFlow but the only difference is, it is not that efficient.

It is getting used for distributed and parallel computing based tasks. Through it, you can optimize, express or evaluate you array-enabled mathematical operations. It is tightly coupled with NumPy powered by implemented numpy.ndarray function.

Due to GPU based infrastructure, it holds the capability to process operations in faster ways than CPU. It stands fit for speed and stability optimizations delivering us the expected outcomes.

For faster evaluation, its dynamic C code generator is popular among data scientists. Here, they can perform unit-testing to identify flaws in the whole model.","Theano is another useful Python library assists data scientists in performing large multi-dimensional arrays related computing operations. It is more like TensorFlow but the only difference is, it is not that efficient.

It is getting used for distributed and parallel computing based tasks. Through it, you can optimize, express or evaluate you array-enabled mathematical operations. It is tightly coupled with NumPy powered by implemented numpy.ndarray function.

Due to GPU based infrastructure, it holds the capability to process operations in faster ways than CPU. It stands fit for speed and stability optimizations delivering us the expected outcomes.

For faster evaluation, its dynamic C code generator is popular among data scientists. Here, they can perform unit-testing to identify flaws in the whole model."
Keras,"Keras is one of the most powerful Python libraries which allow high-level neural networks APIs for integration. Theses APIs execute over the top of TensorFlow, Theano and CNTK. Keras was created for reducing challenges faced in complex researches allowing them to compute faster. For one who is using deep learning libraries for their work, Keras is the best option.

It allows fast prototyping, supports recurrent and convolution networks individually and also their combination, execution over GPU and CPU.

Keras provides a user-friendly environment reducing your effort in cognitive load with simple APIs giving us the required results.  Due to its modular nature, one can use varieties of modules from neural layers, optimizers, activation functions etc.., for developing a new model.

It is an open source library written in Python. For data scientists having trouble adding new modules, Keras is a good option where they can simply add a new module as classes and functions.",
PyTorch,"It helps them in dynamic computational graphs design, fast tensor computations accelerated through GPUs., and various other complex tasks. In neural network algorithms, PyTorch APIs plays an effective role.

The hybrid front-end PyTorch platform is very easy to use allows us transitioning in graph mode for optimizations. For achieving accurate results in asynchronous collective operations and establishing a peer to peer communication it provides a native supports to the users.

With native ONNX (Open Neural Network Exchange. support, one can export models to leverage visualizers, platforms, run-times, and various other resources. The best part of PyTorch it enables a cloud-based environment for easy scaling of resources used in deployment or testing.

It is developed on the concept of another ML library called as Torch. Since the past few years, PyTorch is getting more popular among data scientists due to trending data-centric demands.",
SciPy,"SciPy is another Python library for researchers, developers and data scientists. Do not get confused with the SciPy stack and library. It provides statistics, optimizations, integration and linear algebra packages for computation. It is based on NumPy concept to deal with complex mathematical problems.

It provides numerical routines for optimization and integration. It inherits varieties of sub-modules to choose from. If you have just started your data science career, SciPy can be very helpful to guide you throughout the whole numerical computations thing.

We can see how Python programming is assisting data scientists in crunching and analyzing large and unstructured data sets. Other libraries like TensorFlow, SciKit-Learn, Eli5 are also available to assist them throughout this journey.",
pandas,"PANDAS referred as Python Data Analysis Library. PANDAS is another open source Python library for availing high-performance data structures and analysis tools. It is developed over the Numpy package. It contains DataFrame as its main data structure.

With DataFrame you can store and manage data from tables by performing manipulation over rows and columns. Methods like square bracket notations reduce person’s effort in data analysis tasks like square bracket notations. Here, you will get tools for accessing data in-memory data structures performing read and write tasks even if they are in multiple formats such as CSV, SQL, HDFS or excel etc.DataFrame object for data manipulation with integrated indexing.
Tools for reading and writing data between in-memory data structures and different file formats.
Data alignment and integrated handling of missing data.
Reshaping and pivoting of data sets.
Label-based slicing, fancy indexing, and subsetting of large data sets.
Data structure column insertion and deletion.
Group by engine allowing split-apply-combine operations on data sets.
Data set merging and joining.
Hierarchical axis indexing to work with high-dimensional data in a lower-dimensional data structure.
Time series-functionality: Date range generation[4] and frequency conversion, moving window statistics, moving window linear regressions, date shifting and lagging.
Provides data filtration.",
SciKit-Learn,"Supervised learning.
Linear Models.
Linear and Quadratic Discriminant Analysis.
Kernel ridge regression.
Support Vector Machines.
Stochastic Gradient Descent.
Nearest Neighbors.
Gaussian Processes.
Cross decomposition.
Naive Bayes.
Decision Trees.
Ensemble methods.
Multiclass and multilabel algorithms.
Feature selection.
Semi-Supervised.
Isotonic regression.
Probability calibration.
Neural network models (supervised).
Unsupervised learning.
Gaussian mixture models.
Manifold learning.
Clustering.
Biclustering.
Decomposing signals in components (matrix factorization problems).
Covariance estimation.
Novelty and Outlier Detection.
Density Estimation.
Neural network models (unsupervised).
Model selection and evaluation.
Cross-validation: evaluating estimator performance.
Tuning the hyper-parameters of an estimator.
Metrics and scoring: quantifying the quality of predictions.
Model persistence.
Validation curves: plotting scores to evaluate models.
Inspection.
Partial dependence plots.
Permutation feature importance.
Visualizations.
Available Plotting Utilities.
Dataset transformations.
Pipelines and composite estimators.
Feature extraction.
Preprocessing data.
Imputation of missing values.
Unsupervised dimensionality reduction.
Random Projection.
Kernel Approximation.
Pairwise metrics, Affinities and Kernels.
Transforming the prediction target (y).
Dataset loading utilities.
General dataset API.
Toy datasets.
Real world datasets.
Generated datasets.
Loading other datasets.
Computing with scikit-learn.
Strategies to scale computationally: bigger data.
Computational Performance.
Parallelism, resource management, and configuration.
",
gensim,"Gensim is an open-source library for unsupervised topic modeling and natural language processing, using modern statistical machine learning.

Gensim is implemented in Python and Cython. Gensim is designed to handle large text collections using data streaming and incremental online algorithms, which differentiates it from most other machine learning software packages that target only in-memory processing. Gensim includes streamed parallelized implementations of fastText.word2vec and doc2vec algorithms. as well as latent semantic analysis (LSA, LSI, SVD). non-negative matrix factorization (NMF).latent Dirichlet allocation (LDA), tf-idf and random projections.

Some of the novel online algorithms in Gensim were also published in the 2011 PhD dissertation Scalability of Semantic Analysis in Natural Language Processing of Radim Řehůřek, the creator of Gensim",
Tensorflow,"TensorFlow Federated (TFF) is an open-source framework for machine learning and other computations on decentralized data. TFF has been developed to facilitate open research and experimentation with Federated Learning (FL), an approach to machine learning where a shared global model is trained across many participating clients that keep their training data locally. For example, FL has been used to train prediction models for mobile keyboards without uploading sensitive typing data to servers.

TFF enables developers to simulate the included federated learning algorithms on their models and data, as well as to experiment with novel algorithms. The building blocks provided by TFF can also be used to implement non-learning computations, such as aggregated analytics over decentralized data.",
Kivy,"Innovative user interfaces made easy.

Kivy is an open source, cross-platform Python framework for the development of applications that make use of innovative, touch user interfaces. The aim is to allow for quick and easy interaction design and rapid prototyping whilst making your code reusable and deployable.
All Kivy widgets are built with multitouch support.",
PyQt,"Qt is set of cross-platform C++ libraries that implement high-level APIs for accessing many aspects of modern desktop and mobile systems. These include location and positioning services, multimedia, NFC and Bluetooth connectivity, a Chromium based web browser, as well as traditional UI development.

PyQt5 is a comprehensive set of Python bindings for Qt v5. It is implemented as more than 35 extension modules and enables Python to be used as an alternative application development language to C++ on all supported platforms including iOS and Android.

PyQt5 may also be embedded in C++ based applications to allow users of those applications to configure or enhance the functionality of those applications.",
scikits.audiolab,"Audiolab is a python package for audio file IO using numpy arrays. It supports many different audio formats, including wav, aiff, au, flac, ogg, htk. It also supports output to audio device (Mac OS X and Linux only).

For simplicity, a matlab-like API is provided for simple import/export; a more complete API is also available.

Audiolab is essentially a wrapper around Erik de Castro Lopo’s excellent libsndfile",
PythonTidy ,"Python scripts are usually so good looking that no beautification is required. However, from time to time, it may be necessary to alter the style to conform to changing standards. It abstracts the pretty presentation of the symbolic code from the humdrum[1] process of writing it and getting it to work.
Reads Python code from standard input and writes a revised version to standard output.

Suffice it to say that input defaults to ‘-‘, the standard input, and output defaults to ‘-‘, the standard output.

It means to encapsulate the wisdom revealed in:

o Rossum, Guido van, and Barry Warsaw. “PEP 8: Style Guide for Python Code.” 

",
PyGame,"Pygame is a cross-platform set of Python modules designed for writing video games. It includes computer graphics and sound libraries designed to be used with the Python programming language. It is a Free and Open Source python programming language library for making multimedia applications like games built on top of the excellent SDL library. Like SDL, pygame is highly portable and runs on nearly every platform and operating system. Millions of people have downloaded pygame itself, which is a whole lot of bits flying across the interwebs.

pygame.org (the website) welcomes all Python game, art, music, sound, video and multimedia projects. ",
xhtml2pdf,"xhtml2pdf is a html2pdf converter using the ReportLab Toolkit, the HTML5lib and pyPdf. It supports HTML 5 and CSS 2.1 (and some of CSS 3). It is completely written in pure Python so it is platform independent.

The main benefit of this tool that a user with Web skills like HTML and CSS is able to generate PDF templates very quickly without learning new technologies.",
PyDispatcher,"Dispatcher mechanism for creating event models.

PyDispatcher is an enhanced version of Patrick K. O’Brien’s original dispatcher.py module. It provides the Python programmer with a robust mechanism for event routing within various application contexts.

Included in the package are the robustapply and saferef modules, which provide the ability to selectively apply arguments to callable objects and to reference instance methods using weak-references.",
mailchimp,"A straighforward python client for v3 of MailChimp API. Mailchimp is an American marketing automation platform and an email marketing service.Find your people, build your audience, and establish your brand from day one with Mailchimp's all‑in‑one Marketing Platform.And we send one billion emails nearly every day. Our industry-leading email tools—which work in tandem with all the other channels our all-in-one Marketing Platform offers—are designed to help grow your business faster and increase revenue.",
ADOdb,"ADOdb is a database abstraction library for PHP Originally based on the same concept as Microsoft's ActiveX Data Objects. It allows developers to write applications in a consistent way regardless of the underlying database system storing the information. The advantage is that the database system can be changed without re-writing every call to it in the application. ADOdb supports the following databases:

ActiveX Data Objects
Firebird
Foxpro
FrontBase
IBM DB2
Informix
Interbase
Lightweight Directory Access Protocol (LDAP)
Microsoft Access
Microsoft SQL Server
MySQL
Netezza
Oracle database
PostgreSQL
SAP DB
SQLite
SAP ASE
SAP ADS
generic ODBC and ODBTP
In addition to the Database Abstraction Layer, ADOdb includes the following features:

Schema management tools: a suite of tools to interrogate the attributes of tables, fields and indexes in databases as well as providing cross-database schema management including a full suite of XML based functions
Date and time library: provides a drop-in replacement for PHP date functions, but provide access to dates outside the normal range of dates supported by normal PHP functions
Session management tools: allows storing session data in a database table or as encrypted data",
appJar,"appJar is a cross-platform, open source Python library for developing GUIs (graphical user interfaces).[2] It can run on Linux, OS X, and Windows. ",
CGAL,"The Computational Geometry Algorithms Library (CGAL) is an open source software library of computational geometry algorithms.Geometry kernels - basic geometric operations on geometric primitives
Arithmetic and algebra
Convex hull algorithms
Polygons and polyhedra
Polygon and polyhedron operations
Arrangements
Triangulations
Delaunay triangulations
Voronoi diagrams
Mesh generation
Geometry processing
Search structures
Shape analysis, fitting, and distances
Interpolation
Kinetic data structures",
Cubes,"Cubes is a light-weight open source multidimensional modelling and OLAP toolkit for development reporting applications and browsing of aggregated data written in Python programming language released under the MIT License.

Cubes provides to an analyst or any application end-user ""understandable and natural way of reporting using concept of data Cubes – multidimensional data objects"". OLAP and aggregated browsing (default is ROLAP)
logical model of OLAP cubes in JSON or provided from external sources
hierarchical dimensions (attributes that have hierarchical dependencies, such as category-subcategory or country-region)
multiple hierarchies in a dimension
arithmetic expressions for computing derived measures and aggregates
localizable metadata and data",
Dask,Dask is a library for parallel computing in Python.,
Genshi,"Genshi is a template engine for XML-based vocabularies written in Python. Genshi is used to easily insert generated output into XML-based languages, usually HTML, and reuse elements between documents. Genshi's syntax is based on Kid, but its architecture is different. Genshi aims to implement some of its functionality while processing templates faster, by dynamically processing templates using a stream based API, instead of compiling templates to Python code.

Genshi can be used with several Python web frameworks, such as CherryPy, TurboGears, Pylons and web2py. Genshi has replaced Kid in the TurboGears 2.x web framework. Genshi directly interprets templates (unlike Kid, which generates Python code)
Genshi uses XInclude for template reuse
Genshi adds attributes Kid does not have, like py:choose
Genshi templates are easier to debug, because it tracks template source file names and line numbers, and errors from Genshi's interpreter produce more comprehensible stack traces than from Kid's generated code. ",
Jinja ,"Jinja is a web template engine for the Python programming language and is licensed under a BSD License created by Armin Ronacher. It is similar to the Django template engine but provides Python-like expressions while ensuring that the templates are evaluated in a sandbox. It is a text-based template language and thus can be used to generate any markup as well as sourcecode.

The Jinja template engine allows customization of tags,[2] filters, tests, and globals.[3] Also, unlike the Django template engine, Jinja allows the template designer to call functions with arguments on objects. Jinja is Flask's default template engine. sand boxed execution
automatic HTML escaping to prevent cross-site scripting (XSS) attacks
template inheritance
compiles down to the optimal Python code just-in-time
optional ahead-of-time template compilation
easy to debug (for example, line numbers of exceptions directly point to the correct line in the template)
configurable syntax",
Kamaelia,"Kamaelia is a free software/open source Python-based systems-development tool and concurrency framework produced by BBC Research & Development.

Kamaelia applications are produced by linking independent components together. These components communicate entirely through ""inboxes"" and ""outboxes"" (queues) largely removing the burdens of thread-safety and IPC from the developer. This also makes components reusable in different systems, allows easy unit testing and results in parallelism (between components) by default.

Components are generally implemented as generators - a method more light-weight than allocating a thread to each (though this is also supported). As a result, switching between the execution of components in Kamaelia systems is very fast.

Applications that have been produced using Kamaelia include a Freeview digital video recorder, a network-shared whiteboard, a 3D GUI, an HTTP Server, an audio mixer, a stream multicasting system and a simple BitTorrent client.",
Kid ,"Kid is a simple template engine for XML-based vocabularies written in Python. Kid claims to have many of the best features of XSLT, TAL, and PHP, but ""with much of the limitations and complexity stamped out"".

Kid initially acted as the View component of the TurboGears framework in the framework's version 1.x implementation; however, the TurboGears project team has since replaced it with Genshi, citing perceived performance advantages.[1]

Kid is used by the Fedora Project in the repoview utility [2] which creates a set of static HTML pages within a YUM repository",
imaplib ,"IMAP is an email retrieval protocol which does not download the emails. It just reads them and displays them. This is very useful in low bandwidth condition. Python’s client side library called imaplib is used for accessing emails over imap protocol.

IMAP stands for Internet Mail Access Protocol. It was first proposed in 1986.

Key Points:

IMAP allows the client program to manipulate the e-mail message on the server without downloading them on the local computer.

The e-mail is hold and maintained by the remote server.

It enables us to take any action such as downloading, delete the mail without reading the mail.It enables us to create, manipulate and delete remote message folders called mail boxes.

IMAP enables the users to search the e-mails.

It allows concurrent access to multiple mailboxes on multiple mail servers.",
Celery,"Task queues are used as a mechanism to distribute work across threads or machines.

A task queue's input is a unit of work, called a task, dedicated worker processes then constantly monitor the queue for new work to perform.

it communicates via messages, usually using a broker to mediate between clients and workers. To initiate a task a client puts a message on the queue, the broker then delivers the message to a worker.

the system can consist of multiple workers and brokers, giving way to high availability and horizontal scaling.


It is usually used with a message broker to send and receive messages. The RabbitMQ, Redis transports are feature complete, but there's also experimental support for a myriad of other solutions, including using SQLite for local development.

A single Celery process can process millions of tasks a minute, with sub-millisecond round-trip latency (using RabbitMQ, py-librabbitmq, and optimized settings).

It supports...
Message Transports

RabbitMQ, Redis, Amazon SQS
Concurrency

Prefork, Eventlet, gevent, single threaded (solo)
Result Stores

AMQP, Redis
memcached
SQLAlchemy, Django ORM
Apache Cassandra, IronCache, Elasticsearch
Serialization

pickle, json, yaml, msgpack.
zlib, bzip2 compression.
Cryptographic message signing.",
