Dialogue,user1,user2 ,Link,Type
7,I didn't say it couldn't be done with pygame. I would just prefer to use a different framework.,Try PyQt4. Qt isn't only meant for games but it has a QGraphicsView and an OpenGL widget where you can render from Python.,,
8,How to convert HTML CSS class into style in pure python - what kind of library could be used on GAE,Take a look at xhtml2pdf (under Apache License) for the code that combines the HTML and CSS together and then change the output from PDF to HTML.,https://stackoverflow.com/questions/5670684/how-to-convert-html-css-class-into-style-in-pure-python-what-kind-of-library-c,1
8,Is is pure python - since it need to be used on Google App Engine it important? Whatever it nice idea to use PDF since it looks same in e-mail-s I am currently target HTML since it need some more interaction but for advertisement could nice solution. ,,,
9,Any library to Tidy Up Python Code using pep8 conventions?,You can take a look to PythonTidy which is officially working till python2.5 (and seems to be supported in python2.6) :,https://stackoverflow.com/questions/8213845/library-to-tidy-up-python-code-using-pep8-conventions,1
9,this is not anyways the best solution,pep8.py gives you warnings for violations. Doesn't actually correct though.,,
9,"Correction was what i had asked for, just a gentle reminder.",Yup but this is closest thing I could find which might be useful.,,
10,I have a database of which products every user has viewed and I want to recommend a product based on what similar users have viewed. Is there a Python library that can achieve this?,You can check out pysuggest.,https://stackoverflow.com/questions/2136941/efficient-library-to-recommend-product-based-on-user-history,1
11,what python library should we use to extract table with complex headers from a PDF?,PDF does not have a dedicated method to describe tables.,https://stackoverflow.com/questions/5652a7189/what-python-library-should-we-use-to-extract-table-with-complex-headers-from-a-p,1
12,Python - Any Library to create mp3 files?,PyMedia,https://stackoverflow.com/questions/9976900/python-any-library-to-create-mp3-files,1
12,"Thanks, but it uses some codecs. I don't want to use them. I just want something that should make the full byte array of mp3 when provided with raw info.",You should include what you've already tried and dismissed in your question to save everybody some time,,
13,What is the best library in python to use to interface with a SQL database?,Without any detail we cannot reasonably answer this. ,https://stackoverflow.com/questions/2532135/what-is-the-best-library-in-python-to-use-to-interface-with-a-sql-database,1
13,I am currently processing text/html data and I wish to store my results in some sort of database. My current setup is Pydev with Eclipse,If you won't be using the database itself from multiple locations at once then you can use the built-in sqlite3 module with a SQLite database.,,
14,What SOAP client libraries exist for Python?,"If you only need SOAP client, there is well maintained library called zeep. ",https://stackoverflow.com/questions/206154/what-soap-client-libraries-exist-for-python-and-where-is-the-documentation-for/206964#206964,1
15,"What would be the best Python library to use when producing text-based images requiring things such as leading, kerning, outlines, drop-shadows, etc?","What you seem to want to do is exactly what LaTeX was designed for. With plasTeX, you can convert LaTeX markup to an image. ",https://stackoverflow.com/questions/1972044/image-library-with-advanced-text-effects,1
16,What libraries are good for audio feature vector representation? ,"If I'm not mistaken, scikit.audiolab is merely for reading/writing audio files but I think in addition you'll want to look at the signal processing libraries in scipy to actually build your feature vectors.",https://stackoverflow.com/questions/16818827/python-what-libraries-are-good-for-audio-feature-vector-representation,1
16,"Thanks, so you suggest first using audiolab to read an audio file to some variable 'a' on which I apply signal processing algorithms to get the feature vector?",I would say that things like essentia essentia.upf.edu which provide a python binding could be a good candidate to have nice audio descriptors,,
17,What is the python library used to write rest service in python? ,"Several python solutions exists , here are some of them :Django REST ,Flask-RESTful,Sandman,Restless,Eve",https://stackoverflow.com/questions/27438985/what-is-the-python-library-used-to-write-rest-service-in-python,1
18,Are there any NLP library to convert contractions words back?,"Normally, NLP libraries such as Spacy and NLTK do a good job doing tokenization transforming like ""It's"" into [""It"", ""'s""]. but transforming something like what's into [""what"", ""is""] is more problematic, because you can have examples such `""Amy's ballet studio"" where the ""'s"" is not ""is"".",,1
18,"Got it. I noticed what libraries like NLTK did. We tokenized it as [It, 's], then feed it to the neural network, based on large data, the model will kind of ""understand"" the corresponding original format and predict correct words as outputs.","Yeah, I've being running some NLP models using that tokenization, and I did not had any problem regarding this.",https://stackoverflow.com/questions/55877812/are-there-any-nlp-library-to-convert-contractions-words-back,
19,I would like to generate a heatmap in python with the axis labels being the field names and the rows names.What is the recommended library to use for that task?,you would probably benefit from looking at matplotlib/seaborn,https://stackoverflow.com/questions/45690898/create-a-heatmap-using-python,1
20,What lightweight python library for simple scientific visualization in 3D,"Have you looked at mayavi? Don't know if it meets your definition of ""lightweight"", but it does seem popular and reasonably easy to use for its power.",https://stackoverflow.com/questions/1380861/what-lightweight-python-library-for-simple-scientific-visualization-in-3d,1
20,"I have used mayavi months ago for a different project, its workflow and pipeline are quite complicated, may be overskill for this.","If you want lightweight, then you can use PyOpenGL to just wrap OpenGL calls in python directly. This is probably the lightest-weight option.",,
21,What library is the fastest to make hundreds of DNS queries in multi-tasking.,Twisted's DNS library is cross platform.,https://stackoverflow.com/questions/4034251/fastest-dns-library-for-python,1
21,"Thanks. By the way, I've learnt Twisted is an entire networking library. Can you suggest me what to use Twisted and when not to use it? ","Sure. Personally, I always look to it first. Asynchronous design based on Deferreds is a powerful programming paradigm. In my experience, Twisted has usually proven to be a good choice.",,
22,which library must i import for s = Sound()?,You are probably referring to The Snack Sound Toolkit which doesn't appear to be maintained anymore.,https://stackoverflow.com/questions/33058483/which-library-must-i-import-for-s-sound,1
23,"Which library to import in Python to read data from an Excel file, for automation testing using Selenium?","The xlrd library is what you are looking for to read excel files. And to write, you can use xlwt.",https://stackoverflow.com/questions/36548270/which-library-to-import-in-python-to-read-data-from-an-excel-file-for-automatio,1
23,"Actually like in java there is a file excelreader.java in apache POI like that , I want to read data from excel file for xpaths, so I am looking a file which can read data in python",xlrd does that. ,,
23, If you have an example of reading data in python and selenium can u please paste it here. Thanks in advance,You can Google for examples. ,,
24,What stable Python library can I use to implement Hidden Markov Models? ,pomegranate library has support for HMM and the documentation is really helpful,https://datascience.stackexchange.com/questions/8460/python-library-to-implement-hidden-markov-models,1
25,Best Python library for statistical inference?,"statsmodels is a good, and fairly standard, package to statistics.For Bayesian interference you can go with PyMC - ",https://datascience.stackexchange.com/questions/5122/best-python-library-for-statistical-inference,1
26,What Python library can help visualize/render a 4d (coordinates+position) matrix?,Is this what your looking for:Slicer4python,https://stackoverflow.com/questions/16721855/what-python-library-can-help-visualize-render-a-4d-coordinatesposition-matrix,1
26,"Thanks , this utility is exactly what I'm looking for. ",,,
27,What does “SyntaxError: Missing parentheses in call to 'print'” mean in Python?,"In Python 3, you can only print as: print(""STRING""). But in Python 2, the parentheses are not necessary.",https://stackoverflow.com/questions/25445439/what-does-syntaxerror-missing-parentheses-in-call-to-print-mean-in-python,2
28,"I tried executed the following code in the python IDLE

from __future__ import braces 
And I got the following error:

SyntaxError: not a chance
What does the above error mean?","from __future__ import braces is taken to mean you want to enable the 'create blocks with braces' feature, and the exception tells you your chances of that ever happening are nil.
You can add that to the long list of in-jokes included in Python, just like import __hello__, import this and import antigravity. The Python developers have a well-developed sense of humour!",,2
29,I am getting the 'too many values to unpack' error. Any idea how I can fix this?,"for Python 2,you need to use something like iteritems. 
Since Python 3 iteritems() is no longer supported. Use items() instead",https://stackoverflow.com/questions/5466618/too-many-values-to-unpack-iterating-over-a-dict-key-string-value-list,2
30,input() error - NameError: name '…' is not defined,"You are running Python 2, not Python 3. For this to work in Python 2, use raw_input.",https://stackoverflow.com/questions/21122540/input-error-nameerror-name-is-not-defined,2
31,I'm getting Key error in python.Can anyone please explain why this is happening?,A KeyError generally means the key doesn't exist. Raised when a mapping (dictionary) key is not found in the set of existing keys.,https://stackoverflow.com/questions/10116518/im-getting-key-error-in-python,2
32,"Whenever I try to import requests, I get an error saying ImportError: No module named requests.",Use pip install requests,https://stackoverflow.com/questions/17309288/importerror-no-module-named-requests,2
33,when I try to run the code it gives me the following error:  “ 'dict' object has no attribute 'iteritems' ”,"if you are in python3 , use dict.items() instead of dict.iteritems()",https://stackoverflow.com/questions/30418481/error-dict-object-has-no-attribute-iteritems,2
34,How to fix Python Enum - AttributeError(name) from None error?,"The correct syntax for defining an enum is:

class Status(Enum):
    on = 1
    off = 2",https://stackoverflow.com/questions/56532591/how-to-fix-python-enum-attributeerrorname-from-none-error,2
35,IndentationError: unindent does not match any outer indentation level. What does this mean and how it can be corrected,"Python uses indentation to define code blocks, you can indent code by any amount, but it must match exactly in order to be at the same level.
so this is fine:
Hide   Copy Code
if a==b :
   if c==d :
      x()
   y()
z()
But this:
Hide   Copy Code
if a==b :
   if c==d :
      x()
 y()
z()
Will give you an indentation error because the call to y is not ""lined up"" with either if so the system doesn't know what to do with it.",https://www.codeproject.com/Questions/5164831/Unindent-does-not-match-any-outer-indentation-leve,2
35,Do you mean that I should either use tabs or space in a code and not both because this confuses the compiler.,"It depends on the editor you use, and it's settings, but basically, yes",,
36,I am getting an AttributeError in python and I cannot figure out why. I am a newb to Python so the bar is not very high for stumping me. I keep getting the error message: AttributeError:<obj name> object has no attribute <attname>,An object can call only the methods defined in its own class definition or the method defined in its parent class.,https://stackoverflow.com/questions/43487186/python-error-messages-attributeerror,2
37," I have a .py file for each function I need to use in a program.
In this program, I need to call the function from the external files.
But I get the error:
ImportError: No module named 'file.py'; file is not a package","There isn't any need to add file.py while importing. Just write from file import function, and then call the function using function(a, b). The reason why this may not work, is because file is one of Python's core modules, so I suggest you change the name of your file.

Note that if you're trying to import functions from a.py to a file called b.py, you will need to make sure that a.py and b.py are in the same directory.",https://stackoverflow.com/questions/20309456/call-a-function-from-another-file-in-python,2
38,str' object has no attribute 'decode'. Python 3 error? AttributeError: 'str' object has no attribute 'decode',"You are trying to decode an object that is already decoded. You have a str, there is no need to decode from UTF-8 anymore.",https://stackoverflow.com/questions/28583565/str-object-has-no-attribute-decode-python-3-error,2
39,But have got no idea to solve the error.TypeError: unhashable type: 'list',You can't have a set of lists since lists are not hashable. There are several answers here. you can check this one out,https://stackoverflow.com/questions/28539245/python-error-unhashable-type-list,2
40,"tried reduce(xor, [1,2,3,4]) got the following error NameError: name 'reduce' is not defined in Python","You can add

from functools import reduce
before you use the reduce.",https://stackoverflow.com/questions/8689184/nameerror-name-reduce-is-not-defined-in-python,2
41,TypeError: Can't convert 'int' object to str implicitly. Does anyone know how to solve this? Thanks ahead.,"You cannot concatenate a string with an int. You would need to convert your int to a string using the str function, or use formatting to format your output.",https://stackoverflow.com/questions/13654168/typeerror-cant-convert-int-object-to-str-implicitly,2
42,"I'm trying learn Python (3 to be more specific) and I'm getting this error:
ValueError: zero length field name in format
I googled it and I found out you need to specify the numbers","I'm gonna guess that you are running python 2.6 by accident somehow.

This feature is only available for at least 3.1 if you are using python 3, or 2.7 if you are using python 2.",https://stackoverflow.com/questions/5446964/valueerror-zero-length-field-name-in-format-error-in-python-3-0-3-1-3-2,2
42,Thanks! that was it! Had to change my shebangs to: #! /usr/local/bin/python3 after looking all over. There is 3 different locations of python installs on Mac ,,,
43,here is the error I get: IndexError: list index out of range,"As the error notes,the error is that your list indices are out of range--that is, you are trying to refer to some index that doesn't even exist. Without debugging your code fully, I would check the line where you are adding guesses based on input",https://stackoverflow.com/questions/9256013/python-indexerror-list-index-out-of-range,2
43,"Thank you so much. Now that you point it out, the error is almost embarrassingly obvious. ",,,
,I wanna go study at the library ? Will you join me,,,12
,please don’t make an error and say so,,,12
,can we meet at the library,,,12
,what book do you recommend from the library,,,12
,the two error cancelled each other,,,12
,some books contain a typo or an error,,,12
,error in the library text,,,12
,the error deleted the other error,,,12
,please don’t eat at the library,,,12
,library is a place where one shouldn’t talk,,,12
,not everytime we have the word library it means choose 1st class,,,12
,how is this supposed to work if the library is closed,,,12
,Do you prefer jaffet or science library,,,12
,some people make an error then laugh,,,12
,How do I make a chain of function decorators?,,,5
,How can we find the index of an item in a list?,,,5
,How do I pass a variable by reference?,,,5
,How do I check if the string is empty?,,,5
,How do I select rows from a DataFrame based on column values?,,,5
,How do I rename columns in Pandas?,,,5
,How do I merge two dictionaries in a single expression?,,,5
,How can I make a time delay in Python?,,,5
,How do I import a module given the full path?,,,5
,How do I get the ASCII value for a character?,,,5
,How do I sort a list of dictionaries of a value of the dictionary?,,,5
,How do I flush the output of print function?,,,5
,How do I use a global variable in a function?,,,5
,How do I assign an index in for loops?,,,5
,How do I safely create a nested directory?,,,5
,How do I sort a dictionary by value?,,,5
,How do I check if a list is empty?,,,5
,How do I list all the files in a directory?,,,5
,How do I merge two dictionaries in a single expression?,,,5
,How do I parse XML in Python?,,,5
,How can I delete an element from a dictionary?,,,5
,How can I delete the contents of a folder in python?,,,5
,How can I call github from Python?,,,5
,How can I get the path and name of the file that is currently executing?,,,5
,How can I print without newline or space?,,,5
,How to add a row to pandas DataFrame?,,,5
,How to change the order of DataFrame columns?,,,5
,How can I add extra column to a numpy array?,,,5
,How can I insert all the variable in a function automatically in python?,,,5
,How can I insert a series into a DataFrame row?,,,5
,Hello,,,0
,Hi,,,0
,Greetings!,,,0
,"Hi, How is it going?",,,0
,How are you doing?,,,0
,Nice to meet you.,,,0
,How do you do?,,,0
,"Hi, it's nice to meet you.",,,0
,It is a pleasure to meet you.,,,0
,Top of the morning to you!,,,0
,What’s up?,,,0
