user1,Type,modified
"I am a new user, just at very beginning. I am trying to write a simple function but I get the name error saying that I have not defined a variable. This variable is defined in my if statement, where it should return its value. Can anyone please help me to understand what I am doing wrong. Thank you.NameError: name 'guess_check' is not defined.",2,1
"For some reason, my code is not running. This is the error:

Traceback (most recent call last):
File ""python"", line 20, in
NameError: name 'get_average' is not defined
Can anyone help? Thank you in advance!",2,1
"Python - typeError: Can't convert 'int' object to str implicitly
I really can't understand what is wrong with my code. I also tried it on my computer and everything works!

I will appreciate any kind of help.

Thank you! This error is drive me crazy!",2,1
"it gives me the following error: TypeError: Can't convert 'int' object to str implicitly
What is the issue?",2,1
"When I run this shell in Python2.7.5, everything goes okay. But it occurs ValueError: zero length field name in format when Python version is 2.6.6. What should I run this shell fine when Python version is 2.6.6?",2,1
IndexError: list index out of range and python. I'm telling my program to print out line 53 of an output. Is this error telling me that there aren't that many lines and therefore can not print it out?,2,1
"IndexError: list index out of range
n = [3,5,7]

def myFun(x):
    for i in x:
        print x[i]

IndexError: list index out of range

I was playing around with this exercise, trying to get the same output a different way.
Why do I get this error?
Is it because 'i' starts at 1 and the list starts at 0?",2,1
What does list index out of range mean?,2,1
It keeps saying list index out of range and I can't understand why,2,1
"What is the Trailing data error? How do I read it into a data frame?

Following some suggestions, here are few lines of the .json file",2,1
"How do you use input()? I'm getting EOF error
This was very easy in 2.7, but I haven't gotten it to work in 3.3, and I haven't been able to figure out why.

I have tried pasting the example code from the What's new documentation, and get the same error.

The code:

test = input(""what is test?"")

print(test)
The error:

Traceback (most recent call last): File ""./prog.py"", line 1, in <module> EOFError: EOF when reading a line

This is happening in Pycharm and on ideone.com. What am I doing wrong?",2,1
"I'm getting a type error in Python that doesn't look right. The exact text is: ""TypeError: cannot convert the series to /?"" Can you help me find a programming website that mentions this specific error message and possible solutions for fixing it?",2,1
"I get the following error:

TypeError: cannot convert the series to <class 'float'>
Could someone let me know how to fix this please? I've tried to cast as float using:

df[""B""] .astype(float)
But can't get anything to work. Any guidance would be much appreciated.",2,1
"when I use this library I cant even run the program, it says that the

BlynkLib.Blynk(Blynk_AUTH, ‘111’, 8080)

is wrong formatted,(error:)

TypeError: init() takes exactly 2 arguments (4 given)",2,1
"When I run the program, entering in numbers for num1, num2 and num3, it returns this: Traceback (most recent call last):

TypeError: unsupported operand type(s) for +: 'int' and 'str'",2,1
"How to fix the error? "" Valueerror: setting an array element with a sequence'",2,1
"How can I fix this error? Why is it happening? Is my preprocessing wrong? I know it's a bit dodgy in places, but does this make is unfunctional? If so, how could I fix these issues in the preprocessor? Would this fix the ValueError: setting an array element with a sequence. error?",2,1
What does error TypeError: 'NoneType' object is not iterable mean?,2,1
"Python: What “TypeError 'xxx' object is not callable” means?As a starting developer in Python I've seen this error message many times appearing in my console but I don't fully understand what does it means.

Could anyone tell me, in a general way, what kind of action produces this error?",2,1
How can we write Fibonacci Sequence in python?,3,1
How to use csv.DictWriter to write a header row?,3,1
How to save an array with multiple dimensions in a text file?,3,1
How to save subprocess results in file?,3,1
How to use pdf for writing results?,3,1
How to add arguments to an if condition?,3,1
How to write a module?,3,1
How to write a nested set?,3,1
How to save the result of os.walk in a file?,3,1
How to use ezdxf?,3,1
How to write elements to the array in Python How to add elements into an array?,3,1
How do we read a csv file into panda series?,3,1
How are imports interpreted?,4,1
How are spaces interpreted?,4,1
How can we make python realize that a function is a generator?,4,1
How can we see the interpretation of a line in python?,4,1
How is the backslash interpreted?,4,1
How are numbers starting with zeros interpreted?,4,1
How are the byte limits interpreted in decoding?,4,1
How to check python interpretation on web,4,1
How are source files interpreted?,4,1
How can I use apache for interpretation and display in browser?,4,1
How do I write function decorates in Python?,5,1
How are variables by reference passed in Python?,5,1
How to select specific rows from dataframe based on particular columns?,5,1
How are dictionaries merged in Python?,5,1
How can we import a module from a file given full path name?,5,1
How to sort a dictionary by values?,5,1
How are global variables used in Python?,5,1
How can we sort a dictionary by value in Python?,5,1
How is XML parsed in Python?,5,1
How to remove the contents of a directory using Python?,5,1
How can we get the path of the currently executed file in Python?,5,1
How can we add a row to a dataframe in Python?,5,1
I want to add extra column to numpy array. How do I do that?,5,1
How do we insert a series into Python dataframe?,5,1
By what method can I securely make a nested directory?,6,1
How to discover current directory and file's directory?,6,1
How to discover if index exists in Python?,6,1
How would I get a list of everything in a given directory in Python?,6,1
How would I iterate over records in a given directory?,6,1
How to find script's directory in Python?,6,1
How to import a class from a directory in Python?,6,1
How do you calculate directory size in Python?,6,1
How to decide if an index is writeable or not?,6,1
How do we add files and folders to a zip file in Python?,6,1
How do we create files and folders in python?,6,1
I want to retrieve the filelist of a directory in Python. How can I do it?/,6,1
How can I find the path of a file in Python?,6,1
I want to write a function that takes an argument and outputs its full path.,6,1
I want to zip a file or a folder in Python. How do I do that?,6,1
How do I created a nested directory in Python?,6,1
